# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length
GCF_000739435.1,PRJNA224116,SAMN01918029,,na,743972,716,Actinobacillus suis ATCC 33415,strain=ATCC 33415,,latest,Complete Genome,Major,Full,2014/08/14,ASM73943v1,University of Missouri,GCA_000739435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000739435.1_ASM73943v1,6.0,1.0,2212.0,2501598.0,GCF_000739435.1_Actinobacillus suis ATCC 33415_strain=ATCC 33415,0.368159532003,40.2151744605,1394.0,@GCF_000739435.1_Actinobacillus_suis_ATCC_33415_strain_ATCC_33415,159.0,0.0067571
GCF_000801145.1,PRJNA224116,SAMN02781117,,na,202947,718,Actinobacillus equuli subsp. equuli,strain=19392,,latest,Complete Genome,Major,Full,2014/12/15,ASM80114v1,"Ontario Veterinary College, University of Guelph",GCA_000801145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000801145.1_ASM80114v1,6.0,1.0,2164.0,2431533.0,GCF_000801145.1_Actinobacillus equuli subsp. equuli_strain=19392,0.369589362834,40.2646396327,1393.0,@GCF_000801145.1_Actinobacillus_equuli_subsp._equuli_strain_19392,148.0,0.00173835
GCF_000012185.1,PRJNA58093,SAMN02603157,,na,281310,727,Haemophilus influenzae 86-028NP,strain=86-028NP,,latest,Complete Genome,Major,Full,2007/08/30,ASM1218v1,,GCA_000012185.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012185.1_ASM1218v1,6.0,1.0,1782.0,1914490.0,,,38.1566892488,,,,
GCF_000016465.1,PRJNA58591,SAMN02603084,,na,374930,727,Haemophilus influenzae PittEE,strain=PittEE,,latest,Complete Genome,Major,Full,2007/06/07,ASM1646v1,,GCA_000016465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000016465.1_ASM1646v1,6.0,1.0,1505.0,1813033.0,GCF_000016465.1_Haemophilus influenzae PittEE_strain=PittEE,0.394097464768,38.0402893935,1339.0,@GCF_000016465.1_Haemophilus_influenzae_PittEE_strain_PittEE,135.0,0.00141071
GCF_000027305.1,PRJNA57771,SAMN02603991,,reference genome,71421,727,Haemophilus influenzae Rd KW20,,,latest,Complete Genome,Major,Full,1999/12/22,ASM2730v1,,GCA_000027305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000027305.1_ASM2730v1,6.0,1.0,1610.0,1830138.0,GCF_000027305.1_Haemophilus influenzae Rd KW20,0.373632574742,38.1485439896,1353.0,@GCF_000027305.1_Haemophilus_influenzae_Rd_KW20,135.0,0.00140315
GCF_000197875.1,PRJNA62123,SAMEA3138342,,na,866630,727,Haemophilus influenzae F3031,strain=F3031,,latest,Complete Genome,Major,Full,2011/01/11,ASM19787v1,,GCA_000197875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000197875.1_ASM19787v1,6.0,1.0,1829.0,1985832.0,GCF_000197875.1_Haemophilus influenzae F3031_strain=F3031,0.380831533235,38.2248347292,1347.0,@GCF_000197875.1_Haemophilus_influenzae_F3031_strain_F3031,122.0,0.00281871
GCF_000200475.1,PRJNA62097,SAMEA2272570,,na,935897,727,Haemophilus influenzae F3047,strain=F3047,,latest,Complete Genome,Major,Full,2011/01/11,ASM20047v1,,GCA_000200475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000200475.1_ASM20047v1,6.0,1.0,1853.0,2007018.0,GCF_000200475.1_Haemophilus influenzae F3047_strain=F3047,0.382806447047,38.223673131,1351.0,@GCF_000200475.1_Haemophilus_influenzae_F3047_strain_F3047,130.0,1.15103e-06
GCF_000210875.1,PRJNA86647,SAMEA3138383,,na,862964,727,Haemophilus influenzae 10810,strain=10810,,latest,Complete Genome,Major,Full,2010/07/23,ASM21087v1,,GCA_000210875.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000210875.1_ASM21087v1,6.0,1.0,1830.0,1981535.0,GCF_000210875.1_Haemophilus influenzae 10810_strain=10810,0.375783770494,38.1414913186,1350.0,@GCF_000210875.1_Haemophilus_influenzae_10810_strain_10810,139.0,0.00236525
GCF_000165575.1,PRJNA161921,SAMN02604260,,na,262727,727,Haemophilus influenzae R2846,strain=R2846,,latest,Complete Genome,Major,Full,2010/10/25,ASM16557v1,,GCA_000165575.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000165575.1_ASM16557v1,6.0,1.0,1646.0,1819370.0,GCF_000165575.1_Haemophilus influenzae R2846_strain=R2846,0.379699746571,38.0166761022,1340.0,@GCF_000165575.1_Haemophilus_influenzae_R2846_strain_R2846,148.0,1.15103e-06
GCF_000165525.1,PRJNA161923,SAMN02604259,,na,262728,727,Haemophilus influenzae R2866,strain=R2866,,latest,Complete Genome,Major,Full,2010/10/22,ASM16552v1,,GCA_000165525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000165525.1_ASM16552v1,6.0,1.0,1795.0,1932306.0,GCF_000165525.1_Haemophilus influenzae R2866_strain=R2866,0.37091577875,38.0782339857,1352.0,@GCF_000165525.1_Haemophilus_influenzae_R2866_strain_R2866,134.0,1.15103e-06
GCF_000465255.1,PRJNA219323,SAMN02603575,,na,1334187,727,Haemophilus influenzae KR494,strain=KR494,necrotizing myositis,latest,Complete Genome,Major,Full,2013/09/09,ASM46525v1,Lund University,GCA_000465255.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000465255.1_ASM46525v1,6.0,1.0,1637.0,1856176.0,GCF_000465255.1_Haemophilus influenzae KR494_strain=KR494,0.384394748613,38.052156692,1336.0,@GCF_000465255.1_Haemophilus_influenzae_KR494_strain_KR494,137.0,0.0273585
GCF_000698365.1,PRJNA224116,SAMN02800345,,na,1295140,727,Haemophilus influenzae CGSHiCZ412602,strain=CGSHiCZ412602,,latest,Complete Genome,Major,Full,2014/06/05,ASM69836v1,Center for Genomic Science,GCA_000698365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000698365.1_ASM69836v1,7.0,1.0,1649.0,1811802.0,GCF_000698365.1_Haemophilus influenzae CGSHiCZ412602_strain=CGSHiCZ412602,0.37666910606,38.0669079734,1338.0,@GCF_000698365.1_Haemophilus_influenzae_CGSHiCZ412602_strain_CGSHiCZ412602,137.0,0.0174926
GCF_000767075.1,PRJNA224116,SAMN03093440,,na,727,727,Haemophilus influenzae,,Hi375,latest,Complete Genome,Major,Full,2014/10/16,ASM76707v1,Drexel University College of Medicine,GCA_000767075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000767075.1_ASM76707v1,6.0,1.0,1696.0,1850897.0,GCF_000767075.1_Haemophilus influenzae,0.372003078474,38.1610646081,1344.0,@GCF_000767075.1_Haemophilus_influenzae,143.0,0.00140613
GCF_000931575.1,PRJNA224116,SAMN02595602,,na,727,727,Haemophilus influenzae,strain=477,,latest,Complete Genome,Major,Full,2015/02/23,ASM93157v1,Griffith University,GCA_000931575.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000931575.1_ASM93157v1,6.0,1.0,1695.0,1846259.0,GCF_000931575.1_Haemophilus influenzae_strain=477,0.376202943886,38.157430783,1356.0,@GCF_000931575.1_Haemophilus_influenzae_strain_477,137.0,0.00140629
GCF_000931605.1,PRJNA224116,SAMN02595604,,na,727,727,Haemophilus influenzae,strain=C486,,latest,Complete Genome,Major,Full,2015/02/23,ASM93160v1,Griffith University,GCA_000931605.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000931605.1_ASM93160v1,6.0,1.0,1675.0,1846503.0,GCF_000931605.1_Haemophilus influenzae_strain=C486,0.371875427723,38.1627324732,1343.0,@GCF_000931605.1_Haemophilus_influenzae_strain_C486,144.0,0.00140502
GCF_000931625.1,PRJNA224116,SAMN02595605,,na,727,727,Haemophilus influenzae,strain=723,,latest,Complete Genome,Major,Full,2015/02/23,ASM93162v1,Griffith University,GCA_000931625.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000931625.1_ASM93162v1,6.0,1.0,1748.0,1887620.0,GCF_000931625.1_Haemophilus influenzae_strain=723,0.374871030524,38.231105837,1342.0,@GCF_000931625.1_Haemophilus_influenzae_strain_723,150.0,1.15103e-06
GCF_000968335.1,PRJNA224116,SAMN03450976,,na,1232659,727,Haemophilus influenzae 2019,strain=2019,,latest,Complete Genome,Major,Full,2015/04/02,ASM96833v1,"The Research Institute at Nationwide Children's Hospital and The Ohio State University, Department of Microbiology and DNA Facility, The University of Iowa, Carver College of Medicine and State",GCA_000968335.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000968335.1_ASM96833v1,6.0,1.0,1843.0,1969659.0,GCF_000968335.1_Haemophilus influenzae 2019_strain=2019,0.381338613059,38.3052091758,1337.0,@GCF_000968335.1_Haemophilus_influenzae_2019_strain_2019,136.0,0.00291382
GCF_000210895.1,PRJNA72801,SAMEA3138384,,representative genome,862965,729,Haemophilus parainfluenzae T3T1,strain=T3T1,,latest,Complete Genome,Major,Full,2010/07/23,ASM21089v1,,GCA_000210895.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000210895.1_ASM21089v1,6.0,1.0,1945.0,2086875.0,GCF_000210895.1_Haemophilus parainfluenzae T3T1_strain=T3T1,0.388596061765,39.5718478586,1310.0,@GCF_000210895.1_Haemophilus_parainfluenzae_T3T1_strain_T3T1,137.0,0.0634956
GCF_000007945.1,PRJNA57625,SAMN02604087,,representative genome,233412,730,Haemophilus ducreyi 35000HP,strain=35000HP,,latest,Complete Genome,Major,Full,2003/07/23,ASM794v1,,GCA_000007945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007945.1_ASM794v1,6.0,1.0,1494.0,1698955.0,GCF_000007945.1_Haemophilus ducreyi 35000HP_strain=35000HP,0.399769848095,38.2204943627,1398.0,@GCF_000007945.1_Haemophilus_ducreyi_35000HP_strain_35000HP,110.0,0.0736758
GCF_000011785.1,PRJNA57929,SAMN02598486,,na,205914,731,Haemophilus somnus 129PT,strain=129PT,,latest,Complete Genome,Major,Full,2006/08/22,ASM1178v1,,GCA_000011785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011785.1_ASM1178v1,5.0,2.0,1748.0,2012878.0,GCF_000011785.1_Haemophilus somnus 129PT_strain=129PT,0.374255064471,36.086166819,1316.0,@GCF_000011785.1_Haemophilus_somnus_129PT_strain_129PT,143.0,0.00430027
GCF_000019405.1,PRJNA57979,SAMN02598524,,representative genome,228400,731,Haemophilus somnus 2336,strain=2336,,latest,Complete Genome,Major,Full,2008/02/26,ASM1940v1,,GCA_000019405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000019405.1_ASM1940v1,5.0,1.0,1957.0,2263857.0,GCF_000019405.1_Haemophilus somnus 2336_strain=2336,0.360843593217,37.3780676076,1317.0,@GCF_000019405.1_Haemophilus_somnus_2336_strain_2336,142.0,1.15103e-06
GCF_000022985.1,PRJNA59407,SAMN02602980,,na,634176,732,Aggregatibacter aphrophilus NJ8700,strain=NJ8700,,latest,Complete Genome,Major,Full,2009/07/02,ASM2298v1,,GCA_000022985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000022985.1_ASM2298v1,6.0,1.0,2045.0,2313035.0,,,42.2309649443,,,,
GCF_001188835.1,PRJNA224116,SAMN02988840,,na,634176,732,Aggregatibacter aphrophilus NJ8700,strain=NJ8700,,latest,Complete Genome,Major,Full,2015/07/30,ASM118883v1,"Bumgarner laboratory, Department of Microbiology, University of Washington",GCA_001188835.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001188835.1_ASM118883v1,6.0,1.0,2091.0,2313256.0,GCF_001188835.1_Aggregatibacter aphrophilus NJ8700_strain=NJ8700,0.3666901654,42.2306048271,1367.0,@GCF_001188835.1_Aggregatibacter_aphrophilus_NJ8700_strain_NJ8700,144.0,0.00967075
GCF_001262035.1,PRJNA224116,SAMN03704034,,na,732,732,Aggregatibacter aphrophilus,strain=W10433,,latest,Complete Genome,Major,Full,2015/08/06,ASM126203v1,The Forsyth Institute,GCA_001262035.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001262035.1_ASM126203v1,6.0,1.0,2112.0,2414427.0,GCF_001262035.1_Aggregatibacter aphrophilus_strain=W10433,0.363069518209,42.3389897479,1366.0,@GCF_001262035.1_Aggregatibacter_aphrophilus_strain_W10433,146.0,0.00618521
GCF_000021885.1,PRJNA59273,SAMN02603313,,representative genome,557723,738,Haemophilus parasuis SH0165,strain=SH0165,,latest,Complete Genome,Major,Full,2009/01/07,ASM2188v1,,GCA_000021885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000021885.1_ASM2188v1,6.0,1.0,2013.0,2269156.0,GCF_000021885.1_Haemophilus parasuis SH0165_strain=SH0165,0.38662355253,39.9931075695,1320.0,@GCF_000021885.1_Haemophilus_parasuis_SH0165_strain_SH0165,131.0,0.00428319
GCF_000740985.1,PRJNA224116,SAMN02953022,,na,738,738,[Haemophilus] parasuis,strain=SH03,,latest,Complete Genome,Major,Full,2014/08/18,ASM74098v1,"Bioinformatics Center, Nanjing Agricultural University",GCA_000740985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000740985.1_ASM74098v1,6.0,1.0,2021.0,2265927.0,GCF_000740985.1_Haemophilus parasuis_strain=SH03,0.383896587639,40.0203978328,1323.0,@GCF_000740985.1_Haemophilus_parasuis_strain_SH03,130.0,0.00244817
GCF_000742795.1,PRJNA224116,SAMN02996424,,na,738,738,[Haemophilus] parasuis,strain=KL0318,,latest,Complete Genome,Major,Full,2014/08/21,ASM74279v1,"Bioinformatics Center, Nanjing Agricultural University",GCA_000742795.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000742795.1_ASM74279v1,6.0,1.0,2024.0,2280878.0,GCF_000742795.1_Haemophilus parasuis_strain=KL0318,0.3830535905,40.0426940853,1321.0,@GCF_000742795.1_Haemophilus_parasuis_strain_KL0318,125.0,0.00707741
GCF_000006825.1,PRJNA57627,SAMN02604085,,representative genome,272843,747,Pasteurella multocida subsp. multocida str. Pm70,strain=Pm70,,latest,Complete Genome,Major,Full,2001/03/21,ASM682v1,,GCA_000006825.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000006825.1_ASM682v1,6.0,1.0,2008.0,2257487.0,,,40.4048838376,,,,
GCF_000234745.1,PRJNA86887,SAMN02603284,,na,1075089,747,Pasteurella multocida 36950,strain=36950,,latest,Complete Genome,Major,Full,2011/11/09,ASM23474v1,,GCA_000234745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000234745.1_ASM23474v1,6.0,1.0,2046.0,2349518.0,GCF_000234745.1_Pasteurella multocida 36950_strain=36950,0.364979994153,40.4372726661,1330.0,@GCF_000234745.1_Pasteurella_multocida_36950_strain_36950,172.0,0.00139451
GCF_000255915.1,PRJNA156881,SAMN02603325,,na,1132496,747,Pasteurella multocida subsp. multocida str. HN06,strain=HN06,,latest,Complete Genome,Major,Full,2012/03/23,ASM25591v1,,GCA_000255915.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000255915.1_ASM25591v1,6.0,2.0,2163.0,2407578.0,GCF_000255915.1_Pasteurella multocida subsp. multocida str. HN06_strain=HN06,0.366124061592,43.8513984784,1326.0,@GCF_000255915.1_Pasteurella_multocida_subsp._multocida_str._HN06_strain_HN06,157.0,0.00279214
GCF_000259545.1,PRJNA161955,SAMN02603505,,na,584721,747,Pasteurella multocida subsp. multocida str. 3480,strain=3480,,latest,Complete Genome,Major,Full,2012/04/24,ASM25954v1,,GCA_000259545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000259545.1_ASM25954v1,6.0,1.0,2117.0,2378127.0,GCF_000259545.1_Pasteurella multocida subsp. multocida str. 3480_strain=3480,0.373136399817,40.2874615191,1327.0,@GCF_000259545.1_Pasteurella_multocida_subsp._multocida_str._3480_strain_3480,166.0,1.15103e-06
GCF_000754275.1,PRJNA224116,SAMN02904551,,na,747,747,Pasteurella multocida,strain=ATCC 43137,,latest,Complete Genome,Major,Full,2014/09/12,ASM75427v1,Los Alamos National Laboratory,GCA_000754275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000754275.1_ASM75427v1,6.0,1.0,2006.0,2271840.0,,,40.3547344883,,,,
GCF_000512395.1,PRJNA224116,SAMN02641508,,na,1147130,747,Pasteurella multocida subsp. multocida str. HB03,strain=HB03,,latest,Complete Genome,Major,Full,2013/12/31,ASM51239v1,Huazhong Agricultural University,GCA_000512395.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000512395.1_ASM51239v1,6.0,1.0,2033.0,2307684.0,,,40.3602919637,,,,
GCF_000973565.1,PRJNA224116,SAMN03492042,,na,1304890,747,Pasteurella multocida OH1905,strain=OH1905,,latest,Complete Genome,Major,Full,2015/04/20,ASM97356v1,"University of California, Davis, School of Veterinary Medicine",GCA_000973565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000973565.1_ASM97356v1,7.0,1.0,1978.0,2271688.0,GCF_000973565.1_Pasteurella multocida OH1905_strain=OH1905,0.372468604467,40.4466194301,1329.0,@GCF_000973565.1_Pasteurella_multocida_OH1905_strain_OH1905,168.0,0.00139438
GCF_000973525.1,PRJNA224116,SAMN03492041,,na,1304873,747,Pasteurella multocida subsp. multocida OH4807,strain=OH4807,,latest,Complete Genome,Major,Full,2015/04/20,ASM97352v1,"University of California, Davis, School of Veterinary Medicine",GCA_000973525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000973525.1_ASM97352v1,6.0,1.0,1870.0,2079121.0,GCF_000973525.1_Pasteurella multocida subsp. multocida OH4807_strain=OH4807,0.356909816775,39.6652239095,1325.0,@GCF_000973525.1_Pasteurella_multocida_subsp._multocida_OH4807_strain_OH4807,143.0,0.0257718
GCF_000209675.1,PRJNA66567,SAMN02604222,,representative genome,1005058,750,Gallibacterium anatis UMN179,strain=UMN179,,latest,Complete Genome,Major,Full,2011/04/26,ASM20967v1,,GCA_000209675.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000209675.1_ASM20967v1,6.0,2.0,2381.0,2694139.0,GCF_000209675.1_Gallibacterium anatis UMN179_strain=UMN179,0.328597090444,37.8397052089,1335.0,@GCF_000209675.1_Gallibacterium_anatis_UMN179_strain_UMN179,161.0,0.185749
GCF_000024505.1,PRJNA42155,SAMN02604279,,representative genome,574556,769,Anaplasma centrale str. Israel,strain=Israel,,latest,Complete Genome,Major,Full,2009/11/24,ASM2450v1,,GCA_000024505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000024505.1_ASM2450v1,1.0,1.0,930.0,1206806.0,GCF_000024505.1_Anaplasma centrale str. Israel_strain=Israel,0.5474448184,49.9849188685,5248.0,@GCF_000024505.1_Anaplasma_centrale_str._Israel_strain_Israel,65.0,0.0117079
GCF_000011945.1,PRJNA57629,SAMN02604305,,na,234826,770,Anaplasma marginale str. St. Maries,strain=St. Maries,,latest,Complete Genome,Major,Full,2004/12/06,ASM1194v1,,GCA_000011945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000011945.1_ASM1194v1,1.0,1.0,935.0,1197687.0,GCF_000011945.1_Anaplasma marginale str. St. Maries_strain=St. Maries,0.571403098414,49.7626675417,5250.0,@GCF_000011945.1_Anaplasma_marginale_str._St._Maries_strain_St._Maries,57.0,1.15103e-06
GCF_000020305.1,PRJNA58577,SAMN02604306,,representative genome,320483,770,Anaplasma marginale str. Florida,strain=Florida,,latest,Complete Genome,Major,Full,2009/02/03,ASM2030v1,,GCA_000020305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000020305.1_ASM2030v1,1.0,1.0,938.0,1202435.0,GCF_000020305.1_Anaplasma marginale str. Florida_strain=Florida,0.562969811919,49.7744992453,5249.0,@GCF_000020305.1_Anaplasma_marginale_str._Florida_strain_Florida,57.0,0.00163386
GCF_000015445.1,PRJNA58533,SAMN02604047,,representative genome,360095,774,Bartonella bacilliformis KC583,strain=KC583; ATCC 35685,,latest,Complete Genome,Major,Full,2007/01/04,ASM1544v1,,GCA_000015445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000015445.1_ASM1544v1,2.0,1.0,1156.0,1445021.0,GCF_000015445.1_Bartonella bacilliformis KC583_strain=KC583; ATCC 35685,0.518705730601,38.2386830364,28.0,@GCF_000015445.1_Bartonella_bacilliformis_KC583_strain_KC583__ATCC_35685,98.0,0.0124252
GCF_000007765.1,PRJNA57631,SAMN02603970,,reference genome,227377,777,Coxiella burnetii RSA 493,strain=RSA 493,,latest,Complete Genome,Major,Full,2005/07/22,ASM776v1,,GCA_000007765.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007765.1_ASM776v1,1.0,2.0,1853.0,2032674.0,GCF_000007765.1_Coxiella burnetii RSA 493_strain=RSA 493,0.500536437219,40.9850019486,351.0,@GCF_000007765.1_Coxiella_burnetii_RSA_493_strain_RSA_493,146.0,1.15103e-06
GCF_000017105.1,PRJNA58629,SAMN02603436,,na,434922,777,Coxiella burnetii Dugway 5J108-111,strain=Dugway 5J108-111,,latest,Complete Genome,Major,Full,2007/08/01,ASM1710v1,,GCA_000017105.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000017105.1_ASM1710v1,1.0,2.0,2049.0,2212937.0,,,41.113979933,,,,
GCF_000018745.1,PRJNA58637,SAMN02604053,,na,360115,777,Coxiella burnetii RSA 331,strain=RSA 331,,latest,Complete Genome,Major,Full,2007/12/05,ASM1874v1,,GCA_000018745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000018745.1_ASM1874v1,1.0,2.0,1913.0,2053744.0,GCF_000018745.1_Coxiella burnetii RSA 331_strain=RSA 331,0.498812555259,41.0474030935,347.0,@GCF_000018745.1_Coxiella_burnetii_RSA_331_strain_RSA_331,138.0,1.15103e-06
GCF_000019865.1,PRJNA58893,SAMN02603766,,na,434923,777,Coxiella burnetii CbuG_Q212,strain=CbuG_Q212,,latest,Complete Genome,Major,Full,2008/11/06,ASM1986v1,,GCA_000019865.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000019865.1_ASM1986v1,1.0,1.0,1807.0,2008870.0,GCF_000019865.1_Coxiella burnetii CbuG_Q212_strain=CbuG_Q212,0.498449270354,42.6331221035,349.0,@GCF_000019865.1_Coxiella_burnetii_CbuG_Q212_strain_CbuG_Q212,148.0,0.00141558
GCF_000019885.1,PRJNA58895,SAMN02603767,,na,434924,777,Coxiella burnetii CbuK_Q154,strain=CbuK_Q154,,latest,Complete Genome,Major,Full,2008/11/06,ASM1988v1,,GCA_000019885.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000019885.1_ASM1988v1,1.0,2.0,1956.0,2102380.0,GCF_000019885.1_Coxiella burnetii CbuK_Q154_strain=CbuK_Q154,0.498625968585,41.1648346377,348.0,@GCF_000019885.1_Coxiella_burnetii_CbuK_Q154_strain_CbuK_Q154,125.0,0.00426068
GCF_000367725.2,PRJNA224116,SAMEA2272042,,na,1293501,777,Coxiella burnetii Z3055,strain=Z3055,,latest,Complete Genome,Major,Full,2014/07/14,Z3055,ebi,GCA_000367725.3,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000367725.2_Z3055,1.0,1.0,1876.0,1995457.0,GCF_000367725.2_Coxiella burnetii Z3055_strain=Z3055,0.50625232919,42.6350455059,350.0,@GCF_000367725.2_Coxiella_burnetii_Z3055_strain_Z3055,129.0,1.15103e-06
GCF_000026005.1,PRJNA58013,SAMEA1705918,,representative genome,254945,779,Ehrlichia ruminantium str. Welgevonden,strain=Welgevonden,,latest,Complete Genome,Major,Full,2005/01/05,ASM2600v1,,GCA_000026005.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000026005.1_ASM2600v1,1.0,1.0,915.0,1516355.0,GCF_000026005.1_Ehrlichia ruminantium str. Welgevonden_strain=Welgevonden,0.528978014362,27.4787895974,5256.0,@GCF_000026005.1_Ehrlichia_ruminantium_str._Welgevonden_strain_Welgevonden,66.0,1.15103e-06
GCF_000050405.1,PRJNA58245,SAMEA3138254,,na,302409,779,Ehrlichia ruminantium str. Gardel,strain=Gardel,,latest,Complete Genome,Major,Full,2005/02/01,ASM5040v1,,GCA_000050405.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000050405.1_ASM5040v1,1.0,1.0,908.0,1499920.0,GCF_000050405.1_Ehrlichia ruminantium str. Gardel_strain=Gardel,0.530440557161,27.512600672,5255.0,@GCF_000050405.1_Ehrlichia_ruminantium_str._Gardel_strain_Gardel,64.0,0.0110964
GCF_000050425.1,PRJNA58243,SAMEA3138255,,na,254945,779,Ehrlichia ruminantium str. Welgevonden,strain=Welgevonden,,latest,Complete Genome,Major,Full,2005/02/01,ASM5042v1,,GCA_000050425.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000050425.1_ASM5042v1,1.0,1.0,912.0,1512977.0,GCF_000050425.1_Ehrlichia ruminantium str. Welgevonden_strain=Welgevonden,0.53361548126,27.4788711263,5257.0,@GCF_000050425.1_Ehrlichia_ruminantium_str._Welgevonden_strain_Welgevonden,66.0,0.00155686
GCF_000007025.1,PRJNA57633,SAMN02603141,,representative genome,272944,781,Rickettsia conorii str. Malish 7,strain=Malish 7,,latest,Complete Genome,Major,Full,2002/11/25,ASM702v1,,GCA_000007025.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000007025.1_ASM702v1,1.0,1.0,1227.0,1268755.0,GCF_000007025.1_Rickettsia conorii str. Malish 7_strain=Malish 7,0.579042636918,32.4388081229,5202.0,@GCF_000007025.1_Rickettsia_conorii_str._Malish_7_strain_Malish_7,67.0,0.00164065
GCF_000022785.1,PRJNA161945,SAMN02604077,,na,449216,782,Rickettsia prowazekii str. Rp22,strain=Rp22,,latest,Complete Genome,Major,Full,2010/03/30,ASM2278v1,,GCA_000022785.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000022785.1_ASM2278v1,1.0,1.0,858.0,1111612.0,GCF_000022785.1_Rickettsia prowazekii str. Rp22_strain=Rp22,0.593969161635,29.0002266978,5222.0,@GCF_000022785.1_Rickettsia_prowazekii_str._Rp22_strain_Rp22,63.0,0.00819602
GCF_000277245.1,PRJNA158051,SAMN02603546,,na,1105098,782,Rickettsia prowazekii str. GvV257,strain=GvV257,,latest,Complete Genome,Major,Full,2012/03/21,ASM27724v1,Los Alamos National Laboratory,GCA_000277245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000277245.1_ASM27724v1,1.0,1.0,842.0,1111969.0,,,28.9870490994,,,,
