# assembly_accession,bioproject,biosample,wgs_master,refseq_category,taxid,species_taxid,organism_name,infraspecific_name,isolate,version_status,assembly_level,release_type,genome_rep,seq_rel_date,asm_name,submitter,gbrs_paired_asm,paired_asm_comp,ftp_path,excluded_from_refseq,relation_to_type_material,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
GCF_001617565.1,PRJNA224116,SAMN04621897,,na,562,562,Escherichia coli,strain=Ecol_732,,latest,Complete Genome,Major,Full,2016/04/08,ASM161756v1,University of Oxford,GCA_001617565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/617/565/GCF_001617565.1_ASM161756v1,,,7.0,7.0,5183.0,5418293.0,,,50.8752295234,,,,,
GCF_001618325.1,PRJNA224116,SAMN04590096,,na,562,562,Escherichia coli,strain=Ecol_743,,latest,Complete Genome,Major,Full,2016/04/11,ASM161832v1,University of Oxford,GCA_001618325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/325/GCF_001618325.1_ASM161832v1,,,7.0,5.0,4827.0,5140092.0,,,50.8067948978,,,,,
GCF_001618345.2,PRJNA224116,SAMN04590095,,na,562,562,Escherichia coli,strain=Ecol_745,,latest,Complete Genome,Major,Full,2016/07/12,ASM161834v2,University of Oxford,GCA_001618345.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/345/GCF_001618345.2_ASM161834v2,,,7.0,2.0,4847.0,5040910.0,,,50.7557762388,,,,,
GCF_001618365.1,PRJNA224116,SAMN04590097,,na,562,562,Escherichia coli,strain=Ecol_448,,latest,Complete Genome,Major,Full,2016/04/11,ASM161836v1,University of Oxford,GCA_001618365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/365/GCF_001618365.1_ASM161836v1,,,7.0,3.0,4923.0,5212298.0,,,50.7784474334,,,,,
GCF_001644725.1,PRJNA224116,SAMN04851092,,na,562,562,Escherichia coli,strain=2011C-3911,,latest,Complete Genome,Major,Full,2016/05/16,ASM164472v1,CDC,GCA_001644725.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/644/725/GCF_001644725.1_ASM164472v1,,,7.0,2.0,4709.0,4989576.0,GCF_001644725.1_Escherichia coli_strain=2011C-3911,0.536392630128,50.865925281,1962.0,@GCF_001644725.1_Escherichia_coli_strain_2011C-3911,259.0,0.00131812,11.0
GCF_001644745.1,PRJNA224116,SAMN04851091,,na,562,562,Escherichia coli,strain=2013C-4465,,latest,Complete Genome,Major,Full,2016/05/16,ASM164474v1,CDC,GCA_001644745.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/644/745/GCF_001644745.1_ASM164474v1,,,7.0,2.0,5189.0,5494966.0,,,50.4274457749,,,,,
GCF_001650275.1,PRJNA224116,SAMN05007044,,na,1045010,562,Escherichia coli O157,strain=180-PT54,,latest,Complete Genome,Major,Full,2016/05/24,ASM165027v1,Public Health England,GCA_001650275.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/275/GCF_001650275.1_ASM165027v1,,,7.0,2.0,5430.0,5750190.0,,,50.4254120299,,,,,
GCF_001650295.1,PRJNA224116,SAMN05007045,,na,1045010,562,Escherichia coli O157,strain=644-PT8,,latest,Complete Genome,Major,Full,2016/05/24,ASM165029v1,Public Health England,GCA_001650295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/650/295/GCF_001650295.1_ASM165029v1,,,7.0,1.0,5310.0,5831209.0,,,50.5170540106,,,,,
GCF_001651925.2,PRJNA224116,SAMN04191551,,na,83334,562,Escherichia coli O157:H7,strain=FRIK2069,,latest,Complete Genome,Minor,Full,2017/08/14,ASM165192v2,University of Florida,GCA_001651925.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/925/GCF_001651925.2_ASM165192v2,,,7.0,2.0,5538.0,5740825.0,GCF_001651925.2_Escherichia coli O157:H7_strain=FRIK2069,0.520069307019,50.5072180392,1928.0,@GCF_001651925.2_Escherichia_coli_O157_H7_strain_FRIK2069,252.0,0.00113332,8.0
GCF_001651945.1,PRJNA224116,SAMN04191553,,na,83334,562,Escherichia coli O157:H7,strain=FRIK2533,,latest,Complete Genome,Major,Full,2016/05/25,ASM165194v1,University of Florida,GCA_001651945.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/945/GCF_001651945.1_ASM165194v1,,,7.0,1.0,5358.0,5645219.0,,,50.5489512453,,,,,
GCF_001651965.2,PRJNA224116,SAMN04531998,,na,83334,562,Escherichia coli O157:H7,strain=FRIK2455,,latest,Complete Genome,Major,Full,2017/08/08,ASM165196v2,University of Florida,GCA_001651965.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/651/965/GCF_001651965.2_ASM165196v2,,,7.0,3.0,5576.0,5775520.0,,,50.4443063135,,,,,
GCF_001660565.1,PRJNA224116,SAMN05190012,,na,562,562,Escherichia coli,strain=S51,,latest,Complete Genome,Major,Full,2016/06/09,ASM166056v1,University of Zurich,GCA_001660565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/565/GCF_001660565.1_ASM166056v1,,,7.0,3.0,5045.0,5186163.0,GCF_001660565.1_Escherichia coli_strain=S51,0.525419190283,50.6719129345,1864.0,@GCF_001660565.1_Escherichia_coli_strain_S51,268.0,1e-06,9.0
GCF_001660585.1,PRJNA224116,SAMN05194365,,na,562,562,Escherichia coli,strain=NGF1,,latest,Complete Genome,Major,Full,2016/06/09,ASM166058v1,Harvard University,GCA_001660585.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/660/585/GCF_001660585.1_ASM166058v1,,,7.0,3.0,4826.0,5074819.0,GCF_001660585.1_Escherichia coli_strain=NGF1,0.526584341008,50.5766412556,1900.0,@GCF_001660585.1_Escherichia_coli_strain_NGF1,256.0,1e-06,5.0
GCF_001663075.1,PRJNA224116,SAMN05210771,,na,562,562,Escherichia coli,strain=ER1821R,,latest,Complete Genome,Major,Full,2016/06/15,ASM166307v1,University of Colroado Anschutz Medical Campus,GCA_001663075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/075/GCF_001663075.1_ASM166307v1,,,7.0,1.0,4387.0,4595577.0,,,50.831962994,,,,,
GCF_001663475.1,PRJNA224116,SAMN03455974,,na,562,562,Escherichia coli,strain=Eco889,,latest,Complete Genome,Major,Full,2016/06/16,ASM166347v1,NHGRI,GCA_001663475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/475/GCF_001663475.1_ASM166347v1,,,7.0,3.0,5172.0,5312456.0,,,50.7533803574,,,,,
GCF_001675145.1,PRJNA224116,SAMN03455931,,na,562,562,Escherichia coli,strain=ECONIH2,,latest,Complete Genome,Major,Full,2016/06/22,ASM167514v1,NHGRI,GCA_001675145.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/675/145/GCF_001675145.1_ASM167514v1,,,7.0,3.0,5180.0,5331884.0,GCF_001675145.1_Escherichia coli_strain=ECONIH2,0.525891123344,50.5197412397,1903.0,@GCF_001675145.1_Escherichia_coli_strain_ECONIH2,256.0,1e-06,6.0
GCF_001677475.1,PRJNA224116,SAMN02808332,,na,562,562,Escherichia coli,strain=06-00048,CFSAN004178,latest,Complete Genome,Major,Full,2016/07/01,ASM167747v1,FDA,GCA_001677475.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/475/GCF_001677475.1_ASM167747v1,,,7.0,2.0,5483.0,5712300.0,GCF_001677475.1_Escherichia coli_strain=06-00048,0.51616706436,50.4240148452,1849.0,@GCF_001677475.1_Escherichia_coli_strain_06-00048,262.0,1e-06,17.0
GCF_001677495.1,PRJNA224116,SAMN02808333,,na,562,562,Escherichia coli,strain=09-00049,,latest,Complete Genome,Major,Full,2016/07/01,ASM167749v1,FDA,GCA_001677495.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/495/GCF_001677495.1_ASM167749v1,,,7.0,2.0,5387.0,5511850.0,,,50.4965846313,,,,,
GCF_001677515.1,PRJNA224116,SAMN02688213,,na,562,562,Escherichia coli,strain=08-00022,,latest,Complete Genome,Major,Full,2016/07/01,ASM167751v1,FDA,GCA_001677515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/515/GCF_001677515.1_ASM167751v1,,,7.0,2.0,5292.0,5456185.0,,,50.6140279334,,,,,
GCF_001678925.1,PRJNA224116,SAMN03768474,,na,562,562,Escherichia coli,strain=H1827/12,,latest,Complete Genome,Major,Full,2016/07/05,ASM167892v1,Universidade Estadual de Campinas,GCA_001678925.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/925/GCF_001678925.1_ASM167892v1,,,7.0,1.0,4615.0,4731493.0,,,50.758967624,,,,,
GCF_001678965.1,PRJNA224116,SAMN02688215,,na,562,562,Escherichia coli,strain=GB089,,latest,Complete Genome,Major,Full,2016/07/05,ASM167896v1,FDA,GCA_001678965.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/678/965/GCF_001678965.1_ASM167896v1,,,7.0,2.0,5379.0,5457411.0,,,50.5695649457,,,,,
GCF_001679985.1,PRJNA224116,SAMN05177221,,na,562,562,Escherichia coli,strain=210205630,210205630,latest,Complete Genome,Major,Full,2016/07/06,ASM167998v1,Agricultural Research Service,GCA_001679985.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/985/GCF_001679985.1_ASM167998v1,,,7.0,6.0,5251.0,5424193.0,GCF_001679985.1_Escherichia coli_strain=210205630,0.529833384272,50.5918391916,1963.0,@GCF_001679985.1_Escherichia_coli_strain_210205630,255.0,0.00131706,29.0
GCF_001682305.2,PRJNA224116,SAMN05252777,,na,562,562,Escherichia coli,strain=EC590,,latest,Complete Genome,Major,Full,2017/03/24,ASM168230v2,UNIVERSITY OF MALAYA,GCA_001682305.2,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/682/305/GCF_001682305.2_ASM168230v2,,,7.0,1.0,4333.0,4617703.0,,,50.8016214988,,,,,
GCF_001683435.1,PRJNA224116,SAMN05291917,,na,562,562,Escherichia coli,strain=K-15KW01,,latest,Complete Genome,Major,Full,2016/07/11,ASM168343v1,University of Zurich,GCA_001683435.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/435/GCF_001683435.1_ASM168343v1,,,7.0,1.0,4957.0,5154641.0,,,50.3692885693,,,,,
GCF_001693315.1,PRJNA224116,SAMN05392487,,na,562,562,Escherichia coli,strain=UPEC 26-1,,latest,Complete Genome,Major,Full,2016/07/25,ASM169331v1,"Chungnam National University, College of medicine",GCA_001693315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/315/GCF_001693315.1_ASM169331v1,,,7.0,2.0,5204.0,5329753.0,GCF_001693315.1_Escherichia coli_strain=UPEC 26-1,0.526458328115,50.55733352,1912.0,@GCF_001693315.1_Escherichia_coli_strain_UPEC_26-1,259.0,0.00131816,13.0
GCF_001693635.1,PRJNA224116,SAMN05407982,,na,562,562,Escherichia coli,strain=O177:H21,asymptomatic colonization,latest,Complete Genome,Major,Full,2016/07/26,ASM169363v1,Leiden University Medical Center,GCA_001693635.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/635/GCF_001693635.1_ASM169363v1,,,7.0,6.0,5234.0,5494878.0,GCF_001693635.1_Escherichia coli_strain=O177:H21,0.526811655486,50.4055595047,2165.0,@GCF_001693635.1_Escherichia_coli_strain_O177_H21,257.0,1e-06,32.0
GCF_001695515.1,PRJNA224116,SAMN04510563,,na,83334,562,Escherichia coli O157:H7,strain=FRIK944,,latest,Complete Genome,Major,Full,2016/07/27,ASM169551v1,University of Florida,GCA_001695515.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/695/515/GCF_001695515.1_ASM169551v1,,,7.0,2.0,5651.0,5866200.0,,,50.5461798098,,,,,
GCF_001721125.1,PRJNA224116,SAMN04026657,,na,562,562,Escherichia coli,strain=FORC_028,,latest,Complete Genome,Major,Full,2016/09/07,ASM172112v1,"Food-borne Pathogen Omics Research Center, FORC",GCA_001721125.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/125/GCF_001721125.1_ASM172112v1,,,7.0,1.0,5616.0,5704396.0,GCF_001721125.1_Escherichia coli_strain=FORC_028,0.53293985357,50.6185580384,2170.0,@GCF_001721125.1_Escherichia_coli_strain_FORC_028,255.0,0.00264903,38.0
GCF_001721205.1,PRJNA224116,SAMN02688214,,na,562,562,Escherichia coli,strain=CFSAN004177,,latest,Complete Genome,Major,Full,2016/09/07,ASM172120v1,FDA,GCA_001721205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/205/GCF_001721205.1_ASM172120v1,,,7.0,4.0,4840.0,5374570.0,,,50.3754160798,,,,,
GCF_001721225.1,PRJNA224116,SAMN02688212,,na,562,562,Escherichia coli,strain=CFSAN004176,,latest,Complete Genome,Major,Full,2016/09/07,ASM172122v1,FDA,GCA_001721225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/225/GCF_001721225.1_ASM172122v1,,,7.0,4.0,5129.0,5376466.0,GCF_001721225.1_Escherichia coli_strain=CFSAN004176,0.527257750873,50.3806403686,1871.0,@GCF_001721225.1_Escherichia_coli_strain_CFSAN004176,257.0,0.00263928,36.0
GCF_001721525.1,PRJNA224116,SAMN04939501,,na,562,562,Escherichia coli,strain=MS6198,,latest,Complete Genome,Major,Full,2016/09/08,ASM172152v1,University of Queensland,GCA_001721525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/525/GCF_001721525.1_ASM172152v1,,,7.0,5.0,5473.0,5599783.0,GCF_001721525.1_Escherichia coli_strain=MS6198,0.516500997998,50.5000461625,1834.0,@GCF_001721525.1_Escherichia_coli_strain_MS6198,269.0,0.00399567,14.0
GCF_001723505.1,PRJNA224116,SAMN05725120,,na,562,562,Escherichia coli,strain=K-12 NEB 5-alpha,,latest,Complete Genome,Major,Full,2016/09/13,ASM172350v1,New England Biolabs,GCA_001723505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/723/505/GCF_001723505.1_ASM172350v1,,,7.0,1.0,4374.0,4583637.0,,,50.7741559814,,,,,
GCF_001735705.1,PRJNA224116,SAMN05346848,,na,562,562,Escherichia coli,strain=210221272,,latest,Complete Genome,Major,Full,2016/09/20,ASM173570v1,Agricultural Research Service,GCA_001735705.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/735/705/GCF_001735705.1_ASM173570v1,,,7.0,2.0,4432.0,4731950.0,,,50.7578059785,,,,,
GCF_001750845.1,PRJNA224116,SAMN04209666,,na,562,562,Escherichia coli,strain=FORC_031,,latest,Complete Genome,Major,Full,2016/10/03,ASM175084v1,"Food-borne Pathogen Omics Research Center, FORC",GCA_001750845.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/750/845/GCF_001750845.1_ASM175084v1,,,7.0,5.0,4814.0,5100852.0,,,50.562435452,,,,,
GCF_001753445.1,PRJNA224116,SAMN04447635,,na,83334,562,Escherichia coli O157:H7,strain=1130,,latest,Complete Genome,Major,Full,2016/10/06,ASM175344v1,United State Department of Agriculture,GCA_001753445.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/445/GCF_001753445.1_ASM175344v1,,,7.0,2.0,5247.0,5509007.0,,,50.4705657481,,,,,
GCF_001753465.1,PRJNA224116,SAMN04447629,,na,83334,562,Escherichia coli O157:H7,strain=2149,,latest,Complete Genome,Major,Full,2016/10/06,ASM175346v1,United State Department of Agriculture,GCA_001753465.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/465/GCF_001753465.1_ASM175346v1,,,7.0,2.0,5246.0,5500773.0,,,50.4743606035,,,,,
GCF_001753485.1,PRJNA224116,SAMN04447624,,na,83334,562,Escherichia coli O157:H7,strain=8368,,latest,Complete Genome,Major,Full,2016/10/06,ASM175348v1,United State Department of Agriculture,GCA_001753485.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/485/GCF_001753485.1_ASM175348v1,,,7.0,2.0,5360.0,5530258.0,,,50.4675731223,,,,,
GCF_001753505.1,PRJNA224116,SAMN04447630,,na,83334,562,Escherichia coli O157:H7,strain=2159,,latest,Complete Genome,Major,Full,2016/10/06,ASM175350v1,United State Department of Agriculture,GCA_001753505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/505/GCF_001753505.1_ASM175350v1,,,7.0,2.0,5182.0,5509229.0,,,50.4708190565,,,,,
GCF_001753525.1,PRJNA224116,SAMN04447632,,na,83334,562,Escherichia coli O157:H7,strain=9234,,latest,Complete Genome,Major,Full,2016/10/06,ASM175352v1,United State Department of Agriculture,GCA_001753525.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/525/GCF_001753525.1_ASM175352v1,,,7.0,2.0,5241.0,5503176.0,,,50.4690927566,,,,,
GCF_001753545.1,PRJNA224116,SAMN04447623,,na,83334,562,Escherichia coli O157:H7,strain=3384,,latest,Complete Genome,Major,Full,2016/10/06,ASM175354v1,United State Department of Agriculture,GCA_001753545.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/545/GCF_001753545.1_ASM175354v1,,,7.0,2.0,5277.0,5531320.0,,,50.4697793655,,,,,
GCF_001753565.1,PRJNA224116,SAMN04447636,,na,83334,562,Escherichia coli O157:H7,strain=4276,,latest,Complete Genome,Major,Full,2016/10/06,ASM175356v1,United State Department of Agriculture,GCA_001753565.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/753/565/GCF_001753565.1_ASM175356v1,,,7.0,2.0,5244.0,5497141.0,,,50.4714723526,,,,,
GCF_001806265.1,PRJNA224116,SAMN05729957,,na,562,562,Escherichia coli,strain=NADC 5570/86-24/6565,mutant,latest,Complete Genome,Major,Full,2016/10/21,ASM180626v1,USDA/ARS/National Animal Disease Center,GCA_001806265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/265/GCF_001806265.1_ASM180626v1,,,7.0,2.0,5370.0,5559797.0,,,50.4315715124,,,,,
GCF_001806285.1,PRJNA224116,SAMN05729956,,na,562,562,Escherichia coli,strain=NADC 5570/86-24/6564,wild type,latest,Complete Genome,Major,Full,2016/10/21,ASM180628v1,USDA/ARS/National Animal Disease Center,GCA_001806285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/806/285/GCF_001806285.1_ASM180628v1,,,7.0,2.0,5372.0,5559461.0,,,50.4316695449,,,,,
GCF_001860505.1,PRJNA224116,SAMN04299569,,na,562,562,Escherichia coli,strain=Y5,,latest,Complete Genome,Major,Full,2016/11/01,ASM186050v1,"Sir Run Run Shaw Hospital, College of Medicine, Zhejiang University, Hangzhou, Zhejiang, China",GCA_001860505.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/860/505/GCF_001860505.1_ASM186050v1,,,7.0,1.0,4489.0,4839266.0,,,50.8116933436,,,,,
GCF_001865295.1,PRJNA224116,SAMN04040761,,na,562,562,Escherichia coli,strain=PA20,,latest,Complete Genome,Major,Full,2016/11/03,ASM186529v1,USDA/ARS/Eastern Regional Research Center,GCA_001865295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/865/295/GCF_001865295.1_ASM186529v1,,,7.0,2.0,5457.0,5618601.0,,,50.5057931681,,,,,
GCF_001886535.1,PRJNA224116,SAMN06029893,,na,562,562,Escherichia coli,strain=MRSN352231,,latest,Complete Genome,Major,Full,2016/11/28,ASM188653v1,Walter Reed Army Institute of Research,GCA_001886535.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/535/GCF_001886535.1_ASM188653v1,,,7.0,6.0,4897.0,5200916.0,,,50.7487719471,,,,,
GCF_001886555.1,PRJNA224116,SAMN06029895,,na,562,562,Escherichia coli,strain=MRSN346638,,latest,Complete Genome,Major,Full,2016/11/28,ASM188655v1,Walter Reed Army Institute of Research,GCA_001886555.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/555/GCF_001886555.1_ASM188655v1,,,7.0,6.0,4976.0,5116498.0,,,50.7604615501,,,,,
GCF_001886575.1,PRJNA224116,SAMN06029896,,na,562,562,Escherichia coli,strain=MRSN346355,,latest,Complete Genome,Major,Full,2016/11/28,ASM188657v1,Walter Reed Army Institute of Research,GCA_001886575.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/575/GCF_001886575.1_ASM188657v1,,,7.0,6.0,4897.0,5114354.0,,,50.7642607453,,,,,
GCF_001886755.1,PRJNA224116,SAMN06029894,,na,562,562,Escherichia coli,strain=MRSN346595,,latest,Complete Genome,Major,Full,2016/11/28,ASM188675v1,Walter Reed Army Institute of Research,GCA_001886755.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/755/GCF_001886755.1_ASM188675v1,,,7.0,6.0,4894.0,5116627.0,,,50.7625238267,,,,,
GCF_001886935.1,PRJNA224116,SAMN04965119,,na,562,562,Escherichia coli,strain=FORC_041,,latest,Complete Genome,Major,Full,2016/11/28,ASM188693v1,"Food-borne Pathogen Omics Research Center, FORC",GCA_001886935.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/886/935/GCF_001886935.1_ASM188693v1,,,7.0,1.0,4686.0,4867152.0,GCF_001886935.1_Escherichia coli_strain=FORC_041,0.535493404634,50.7468844203,2188.0,@GCF_001886935.1_Escherichia_coli_strain_FORC_041,258.0,0.0013157,57.0
GCF_001888075.1,PRJNA224116,SAMN05945146,,na,562,562,Escherichia coli,strain=FMU073332,,latest,Complete Genome,Major,Full,2016/12/02,ASM188807v1,Centro de Ciencias Genomicas,GCA_001888075.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/888/075/GCF_001888075.1_ASM188807v1,,,7.0,5.0,4895.0,5022828.0,GCF_001888075.1_Escherichia coli_strain=FMU073332,0.528051534787,50.5171190413,2204.0,@GCF_001888075.1_Escherichia_coli_strain_FMU073332,255.0,0.00131612,51.0
GCF_001890205.1,PRJNA224116,SAMN05544764,,na,562,562,Escherichia coli,strain=155,,latest,Complete Genome,Major,Full,2016/12/07,ASM189020v1,United State Department of Agriculture,GCA_001890205.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/205/GCF_001890205.1_ASM189020v1,,,7.0,2.0,5369.0,5604428.0,,,50.5014606308,,,,,
GCF_001890225.1,PRJNA224116,SAMN05544766,,na,562,562,Escherichia coli,strain=272,,latest,Complete Genome,Major,Full,2016/12/07,ASM189022v1,United State Department of Agriculture,GCA_001890225.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/225/GCF_001890225.1_ASM189022v1,,,7.0,2.0,5393.0,5568363.0,,,50.4434247552,,,,,
GCF_001890245.1,PRJNA224116,SAMN05544767,,na,562,562,Escherichia coli,strain=472,,latest,Complete Genome,Major,Full,2016/12/07,ASM189024v1,United State Department of Agriculture,GCA_001890245.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/245/GCF_001890245.1_ASM189024v1,,,7.0,2.0,5528.0,5608872.0,,,50.4572398871,,,,,
GCF_001890265.1,PRJNA224116,SAMN05544765,,na,562,562,Escherichia coli,strain=350,,latest,Complete Genome,Major,Full,2016/12/07,ASM189026v1,United State Department of Agriculture,GCA_001890265.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/265/GCF_001890265.1_ASM189026v1,,,7.0,2.0,5422.0,5504345.0,,,50.4919477249,,,,,
GCF_001890285.1,PRJNA224116,SAMN05544760,,na,562,562,Escherichia coli,strain=9000,,latest,Complete Genome,Major,Full,2016/12/07,ASM189028v1,United State Department of Agriculture,GCA_001890285.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/285/GCF_001890285.1_ASM189028v1,,,7.0,2.0,5418.0,5611726.0,,,50.4897245518,,,,,
GCF_001890305.1,PRJNA224116,SAMN05544762,,na,562,562,Escherichia coli,strain=7784,,latest,Complete Genome,Major,Full,2016/12/07,ASM189030v1,United State Department of Agriculture,GCA_001890305.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/305/GCF_001890305.1_ASM189030v1,,,7.0,2.0,5291.0,5462063.0,,,50.4649616821,,,,,
GCF_001890325.1,PRJNA224116,SAMN05544768,,na,562,562,Escherichia coli,strain=319,,latest,Complete Genome,Major,Full,2016/12/07,ASM189032v1,United State Department of Agriculture,GCA_001890325.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/325/GCF_001890325.1_ASM189032v1,,,7.0,2.0,5341.0,5567385.0,,,50.4948193811,,,,,
GCF_001890345.1,PRJNA224116,SAMN05544761,,na,562,562,Escherichia coli,strain=10671,,latest,Complete Genome,Major,Full,2016/12/07,ASM189034v1,United State Department of Agriculture,GCA_001890345.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/345/GCF_001890345.1_ASM189034v1,,,7.0,2.0,5452.0,5520540.0,,,50.4860394092,,,,,
GCF_001890365.1,PRJNA224116,SAMN06067968,,na,562,562,Escherichia coli,strain=MRSN346647,,latest,Complete Genome,Major,Full,2016/12/07,ASM189036v1,Walter Reed Army Institute of Research,GCA_001890365.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/365/GCF_001890365.1_ASM189036v1,,,7.0,3.0,4899.0,5158613.0,,,50.624925731,,,,,
GCF_001900295.1,PRJNA224116,SAMN03252409,,na,562,562,Escherichia coli,strain=C1,,latest,Complete Genome,Major,Full,2016/12/12,ASM190029v1,Nanjing Agricultural University,GCA_001900295.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/295/GCF_001900295.1_ASM190029v1,,,7.0,1.0,4647.0,4843023.0,,,50.5442984681,,,,,
GCF_001900315.1,PRJNA224116,SAMN03252412,,na,562,562,Escherichia coli,strain=C4,,latest,Complete Genome,Major,Full,2016/12/12,ASM190031v1,Nanjing Agricultural University,GCA_001900315.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/315/GCF_001900315.1_ASM190031v1,,,7.0,1.0,4757.0,4990476.0,,,50.5612290291,,,,,
GCF_001900335.1,PRJNA224116,SAMN03252417,,na,562,562,Escherichia coli,strain=C10,,latest,Complete Genome,Major,Full,2016/12/12,ASM190033v1,Nanjing Agricultural University,GCA_001900335.1,identical,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/900/335/GCF_001900335.1_ASM190033v1,,,7.0,1.0,4856.0,5021692.0,GCF_001900335.1_Escherichia coli_strain=C10,0.532319126339,50.8051668641,2177.0,@GCF_001900335.1_Escherichia_coli_strain_C10,260.0,1e-06,50.0
