sample_name,GenBank BioSample,NCBI SRA,project_id,source_mat_id,latitude,longitude,habitat_name,taxon_id,strain,genus,species,family,depth,sample_collection_site,class,phylum,assembly_accession_number,collection_date,date_of_experiment,day_portion_of_day_night_cycle_in_hours,envo_term_for_habitat_primary_term,growth_medium,investigation_type,light,other_collection_site_info,sample_material,experimental_salinity,experimental_temperature,fastq_file,night_portion_of_day_night_cycle_in_hours,primary_citation,longhurst_province,ph,clonal,envo_term_for_habitat_secondary_term,habitat_description,prey_organism_if_applicable,environmental_salinity,other_experimental_metadata_available,country,axenic,modifications_to_growth_medium,additional_citations,collection_time,other_environmental_metadata_available,environmental_temperature,phosphate,nitrate,iron,trace_elements,pressure,carbon_dioxide,ammonium,pcr_amp,silicate,sample_type,sample_description,collection_start_time,collection_stop_time,site_name,site_description,library_acc,sequencing_method,dna_type,comments,order,superkingdom,combined_assembly_name,external_sample_id,habitat,principle_investigator,sample_volume,volume_unit,filter_min,filter_max,filter_fraction_maximum,filter_fraction_minimum,volume_filtered,urea,chlorophyll,elevation,dissolved_oxygen,particulate_organic_carbon,region,n16S,nge,ncds,genome_size,tax_name,phi,GC,clade,tip_name,npaths_actual,branch_length,nec_actual
MMETSP0139,2740347,SRS618963,104,CAM_SMPL_002414,36.60369,-121.88927,marine habitat,44445,10249 10 AB,Pseudo-nitzschia,australis,Bacillariaceae,5.0,Pacific_Ocean,Bacillariophyceae,Bacillariophyta,CAM_ASM_000232,06-SEP-10,04-AUG-11,24.0,Acquatic: marine,0.2u filtered Monterey Bay seawater with ES enrichments lacking N- source which is applied in experiment specific manner,EU,250.0,"Monterey Commercial Wharf II, part of routine time series sampling for Pseudo-nitzschia",Seawater,33.0,15.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP013/MMETSP0139.fastq.tar,,,,8.2,1,Not Applicable,"coastal ocean bay, near small boat harbor",,33.0,Continuous culture with dilution rate set to 0.29/d,US,No,"Continuous culture with dilution rate set to 0.29/d, NO3 as N source",,10:00 AM,,15.0,36.7,80.0,6560.0,2687.0,1.0,,,No,6.1,eukaryotes,Pseudo-nitzschia australis 10249 10 AB,2010-09-06 10:00:00.0,2010-09-06 10:00:00.0,Pacific_Ocean,"Monterey Commercial Wharf II, part of routine time series sampling for Pseudo-nitzschia",CAM_LIB_001180,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0139"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0139</a>",,Eukaryota,Pseudo_nitzschia-australis-10249_10_AB,10249 10AB_NO3,marine habitat,G Jason Smith,,,,,,,,,,,,,,,,,,MMETSP0139|Pseudo-nitzschia-australis-1024910AB,,,543.0,@MMETSP0139_Pseudo-nitzschia-australis-1024910AB,225.0,0.0520053,2300.0
MMETSP0143,2740423,SRS618905,104,CAM_SMPL_002416,64.75,21.33,,72548,CCMP1757,Chrysochromulina,polylepis,Prymnesiaceae,,,Prymnesiophyceae,Haptophyta,CAM_ASM_000234,,15-OCT-11,14.0,,L1,EU,100.0,,,32.0,15.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP014/MMETSP0143.fastq.tar,10.0,,,8.3,1,,,,,,,1,16N:1P,,,,,36.0,576.0,,1000.0,1.0,400.0,,No,,eukaryotes,Chrysochromulina polylepis CCMP1757,,,,,CAM_LIB_001182,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0143"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0143</a>",Prymnesiales,Eukaryota,Chrysochromulina-polylepis-CCMP1757,"Ccpl, replete, modern CO2",,"Sonya Dyhrman, Andrew Juhl",,,,,,,,,,,,,,,,,,MMETSP0143|Chrysochromulina-polylepis-CCMP1757,,,249.0,@MMETSP0143_Chrysochromulina-polylepis-CCMP1757,237.0,0.00125347,2724.0
MMETSP0125,2740417,SRS618927,104,CAM_SMPL_002427,,,marine habitat,485358,ATCC 50986,Aristerostoma,sp.,Unknown,,"Great Marsh, DE",Oligohymenophorea,Ciliophora,CAM_ASM_000245,,04-OCT-11,,Acquatic: marine,sea water,EU,,,"gray mud mixed with roots, sand, and clay",32.0,23.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP012/MMETSP0125.fastq.tar,,"Dunthorn,M., Eppinger,M., Schwarz,M.V., Schweikert,M., Boenigk,J., Katz,L.A., Stoeck,T. 2009. Phylogenetic placement of the Cyrtolophosididae Stokes, 1888 (Ciliophora; Colpodea) and neotypification of Aristerostoma marinum Kahl, 1931. Int. J. Syst. Evol.",,,No,Sediment,salt marsh,Klebsiella and other bacteria,,,US,No,,"Foissner, W. 1993. Colpodea (Ciliophora). Gustav Fischer Verlag, Stuttgart. 798 p.",,,,,,,,,,,No,,eukaryotes,Aristerostoma sp. ATCC 50986,,,"Great Marsh, DE",,CAM_LIB_001193,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0125"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0125</a>",,Eukaryota,,,marine habitat,Denis Lynn,,,,,,,,,,,,,,,,,,MMETSP0125|Aristerostoma-sp-ATCC50986,,,168.0,@MMETSP0125_Aristerostoma-sp-ATCC50986,95.0,0.179796,1426.0
MMETSP0156,2740296,SRS619037,104,CAM_SMPL_002428,-47.86667,-15.8,marine habitat,33649,L26-B,Thalassionema,nitzschioides,Thalassionemataceae,,Southern_Ocean,Fragilariophyceae,Bacillariophyta,CAM_ASM_000246,28-JAN-09,20-JUN-11,16.0,Acquatic: marine,modified f/2 amended seawater,EU,35.0,LOHAFEX station 120,Calanus simillimus faecal pellet,33.6,3.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP015/MMETSP0156.fastq.tar,8.0,(Grunow) Mereschkowsky 1902: 78,SANT,8.15,1,,,,,,,No,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,,,further metadata available at http://www.pangaea.de,,28.45,28.0,11000.0,7.3,,,0.09,No,60.0,eukaryotes,Thalassionema nitzschioides L26-B,2009-01-28 00:00:00.0,2009-01-28 00:00:00.0,Southern_Ocean,LOHAFEX station 120,CAM_LIB_001194,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0156"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0156</a>",Thalassionemales,Eukaryota,Thalassionema-nitzschioides-L26_B,T. nitzschioides CTR 1,marine habitat,Bank Beszteri,,,,,,,,,,,,,,,,,,MMETSP0156|Thalassionema-nitzschioides-L26-B,,,560.0,@MMETSP0156_Thalassionema-nitzschioides-L26-B,240.0,0.00114796,1872.0
MMETSP0160,2740427,SRS618998,104,CAM_SMPL_002432,,,,2839,Grunow 1884,Odontella,Sinensis,Triceratiaceae,,,Coscinodiscophyceae,Bacillariophyta,CAM_ASM_000250,,01-APR-11,16.0,,f/2,EU,150.0,,,36.0,15.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP016/MMETSP0160.fastq.tar,8.0,,,8.3,1,,,,,,,No,,"Taylor AR A fast Na+/Ca2+-based action potential in a marine diatom.PLoS One. 2009;4(3):e4966.; Kowallik K, Stoebe B, Schaffran I, Kroth-Pancic P, Freier U. The chloroplast genome of a chlorophyll a+c- containing alga, Odontella sinensis. Plant Mol Biol R",,,,36.0,882.0,,12800.0,,,,No,106.0,eukaryotes,Odontella Sinensis Grunow 1884,,,,,CAM_LIB_001198,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0160"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0160</a>",Eupodiscales,Eukaryota,,Ply 606,,Declan Schroeder,,,,,,,,,,,,,,,,,,MMETSP0160|Odontella-sinensis-Grunow1884,,,518.0,@MMETSP0160_Odontella-sinensis-Grunow1884,235.0,0.0545062,1662.0
MMETSP0161,2740345,SRS619001,104,CAM_SMPL_002433,42.26722,136.71861,marine habitat,180227,SoJaBio B1-5/56/2,Neoparamoeba,aestuarina,Vexilliferidae,3665.0,Sea of Japan,Lobosa,Unknown,CAM_ASM_000251,19-AUG-10,18-MAY-11,,Acquatic: marine,seawater with wheat grains,EU,,"Expedition SoJaBio, bottom sediments of the Sea of Japan",Marine sediment,35.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP016/MMETSP0161.fastq.tar,,"Kudryavtsev A, Pawlowski J, Hausmann K (2011) Diversity of Amoebozoa from the deep-sea sediment samples of the Sea of Japan, in preparation",KURO,7.5,1,Sediment,"deep-sea bottom sediment, clay, aerobic",bacteria,35.0,,,No,,,08:25 PM,no other types of environmental metadata available,,,,,,,,,No,,eukaryotes,Neoparamoeba aestuarina SoJaBio B1-5/56/2,2010-08-19 20:25:00.0,2010-08-19 20:25:00.0,Sea of Japan,"Expedition SoJaBio, bottom sediments of the Sea of Japan",CAM_LIB_001199,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0161"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0161</a>",,Eukaryota,,Neoparamoeba aestuarina SoJaBio B1-5/56/2,marine habitat,Jan Pawlowski,,,,,,,,,,,,,,,,,,MMETSP0161|Neoparamoeba-aestuarina-SoJaBioB1-5-56-2,,,292.0,@MMETSP0161_Neoparamoeba-aestuarina-SoJaBioB1-5-56-2,217.0,0.385551,2081.0
MMETSP0149,2740223,SRS619033,104,CAM_SMPL_002437,-49.6,2.1,marine habitat,122233,MM31A-1,Chaetoceros,debilis,Chaetocerotaceae,,Southern_Ocean,Coscinodiscophyceae,Bacillariophyta,CAM_ASM_000255,27-FEB-04,17-MAY-11,16.0,Acquatic: marine,modified f/2 amended seawater,EU,35.0,EIFEX station 513,seawater,33.6,3.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP014/MMETSP0149.fastq.tar,8.0,Cleve PT (1894). Bih. Kongl. Svenska Vetensk.-Akad. Handl. 20(3/2):1-16,SANT,8.15,1,Other,,,,,,No,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,,,http://www.pangaea.de/search?q=eifex,,28.45,28.0,11000.0,7.3,,,0.09,No,60.0,eukaryotes,Chaetoceros debilis MM31A-1,2004-02-27 00:00:00.0,2004-02-27 00:00:00.0,Southern_Ocean,EIFEX station 513,CAM_LIB_001203,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0149"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0149</a>",Chaetocerotales,Eukaryota,Chaetoceros-debilis-MM31A_1,C. debilis CTR 2,marine habitat,Bank Beszteri,,,,,,,,,,,,,,,,,,MMETSP0149|Chaetoceros-debilis-MM31A-1,,,462.0,@MMETSP0149_Chaetoceros-debilis-MM31A-1,197.0,0.328392,1385.0
MMETSP0152,2740290,SRS619039,104,CAM_SMPL_002440,-51.83333,-28.66667,marine habitat,1049557,L6-D1,Thalassiothrix,antarctica,Thalassionemataceae,,Southern_Ocean,Fragilariophyceae,Bacillariophyta,CAM_ASM_000258,20-JAN-09,24-JUN-11,16.0,Acquatic: marine,modified f/2 amended seawater,EU,35.0,expedition LOHAFEX,seawater,33.6,3.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP015/MMETSP0152.fastq.tar,8.0,"A.Schimper ex G.Karsten 1905: 124, pl. 17: fig. 12",SANT,8.15,1,,,,,,,No,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,,,further metadata available at http://www.pangaea.de,,28.45,28.0,11000.0,7.3,,,0.09,No,60.0,eukaryotes,Thalassiothrix antarctica L6-D1,2009-01-20 00:00:00.0,2009-01-20 00:00:00.0,Southern_Ocean,expedition LOHAFEX,CAM_LIB_001206,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0152"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0152</a>",Thalassionemales,Eukaryota,Thalassiothrix-antarctica-L6_D1,T. antarctica CTR 1,marine habitat,Bank Beszteri,,,,,,,,,,,,,,,,,,MMETSP0152|Thalassiothrix-antarctica-L6-D1,,,557.0,@MMETSP0152_Thalassiothrix-antarctica-L6-D1,212.0,0.149919,1693.0
MMETSP0167,2740429,SRS618938,104,CAM_SMPL_002443,51.53,0.7,,38298,CCMP736,Rhodella,maculata,Rhodellaceae,,,Rhodellophyceae,Rhodophyta,CAM_ASM_000261,,23-JUL-11,24.0,,f/2 amended seawater (without silicate),EU,100.0,,,35.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP016/MMETSP0167.fastq.tar,,,,8.1,1,,,,,EU,,1,f/2 amended seawater (without silicate),,,,,36.0,800.0,,,,2400.0,,No,,eukaryotes,Rhodella maculata CCMP736,,,,,CAM_LIB_001209,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0167"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0167</a>",Rhodellales,Eukaryota,Rhodella-maculata-CCMP736,R_maculata,,Thomas Mock,,,,,,,,,,,,,,,,,,MMETSP0167|Rhodella-maculata-CCMP736,,,225.0,@MMETSP0167_Rhodella-maculata-CCMP736,188.0,0.412672,1255.0
MMETSP0190,2740430,SRS619003,104,CAM_SMPL_002445,,,,37353,Rosalina,Rosalina,sp.,Rosalinidae,,,Rotaliida,Forminafera,CAM_ASM_000263,,25-MAR-11,10.0,,1/8 Erdschreiber media plus filtered sea water,EU,,,,35.0,22.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP019/MMETSP0190.fastq.tar,14.0,"Orbigny, A.D., Tableau méthodique de la classe des Céphalopodes. 3ème ordre-Foraminifères. Annales du Museum Naturelle, Paris, 1826, 7, 1-275.",,8.0,1,,,"Chlorella sp., bacteria, diatoms",,,,No,,"i. Schweizer, M., Pawlowski, J., et al. (2008) Molecular phylogeny of Rotaliida (Foraminifera) based on complete small subunit rDNA sequences. Marine Micropaleontology 66(3-4): 233-246ii. Pawlowski, J. (2009). Foraminifera, in: Moselio, S. (Ed). Encyclope",,,,2.0,12.0,,15.0,,,4.0,No,1.0,eukaryotes,Rosalina sp.,,,,,CAM_LIB_001211,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0190"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0190</a>",Rotaliida,Eukaryota,,65RSP,,Jan Pawlowski,,,,,,,,,,,,,,,,,,MMETSP0190|Rosalina-sp,,,194.0,@MMETSP0190_Rosalina-sp,108.0,0.547678,823.0
MMETSP0191,2740431,SRS618850,104,CAM_SMPL_002447,,,,126664,Sorites sp.,Sorites,sp.,Soritidae,,,Polythalamea,Forminafera,CAM_ASM_000265,,15-APR-11,,,nonculturable,EU,,,,40.0,,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP019/MMETSP0191.fastq.tar,,"Loeblich, A.J.R., Tappan. H., Foraminiferal Genera and their Classification. 1988 vol. 1-2, Van Nostrand, Reinhold, New York.",,8.1,No,,,algae and bacteria,,,,No,nonculturable,"i. Holzmann, M., Hohenegger, J., Hallock, P., Piller, W.E. and Pawlowski. J. Molecular phylogeny of large miliolid foraminifera (Soritacea Ehrenberg 1839). Marine Micropaleontology. 2001. 43(1-2): 57-74ii. Garcia-Cuetos, L., Pochon, X., Pawlowski, J. (200",,,,,,,,,,,No,,eukaryotes,Sorites sp.,,,,,CAM_LIB_001213,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0191"" target=""_blank"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0191</a>",Miliolida,Eukaryota,,68SSP,,Jan Pawlowski,,,,,,,,,,,,,,,,,,MMETSP0191|Sorites-sp,,,198.0,@MMETSP0191_Sorites-sp,179.0,0.963471,2607.0
MMETSP0169,2740288,SRS619040,104,CAM_SMPL_002448,-47.33333,-15.65,marine habitat,218684,L29A3,Corethron,pennatum,Corethraceae,,Southern_Ocean,Coscinodiscophyceae,Bacillariophyta,CAM_ASM_000266,18-JAN-09,24-JUN-11,16.0,Acquatic: marine,modified f/2 amended seawater,EU,35.0,LOHAFEX station 160,seawater,33.6,3.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP016/MMETSP0169.fastq.tar,8.0,"(Grunow) Ostenfeld in Van Heurck 1909: 30, pl. 6: fig. 88",SANT,8.15,1,,,,,,,No,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,,,further metadata available at http://www.pangaea.de,,28.45,28.0,11000.0,7.3,,,0.09,No,60.0,eukaryotes,Corethron pennatum L29A3,2009-01-18 00:00:00.0,2009-01-18 00:00:00.0,Southern_Ocean,LOHAFEX station 160,CAM_LIB_001214,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0169"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0169</a>",Corethrales,Eukaryota,Corethron-pennatum-L29A3,C. pennatum CTR 1,marine habitat,Bank Beszteri,,,,,,,,,,,,,,,,,,MMETSP0169|Corethron-pennatum-L29A3,,,585.0,@MMETSP0169_Corethron-pennatum-L29A3,220.0,0.0737649,1739.0
MMETSP0173,2740317,SRS619002,104,CAM_SMPL_002450,-26.644440000000003,-35.24361,marine habitat,218659,DIVA3 564/2,Vexillifera,sp.,Vexilliferidae,4527.1,Atlantic_Ocean,Lobosa,Unknown,CAM_ASM_000268,24-JUL-09,10-JUN-11,,Acquatic: marine,seawater with wheat grains,EU,,Expedition DIVA3,Marine sediment,35.0,20.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP017/MMETSP0173.fastq.tar,,"Kudryavtsev A, Pawlowski J, Hausmann K (2011) A survey of lobose amoebae (Amoebozoa) from the atlantic deep-sea sediments, in preparation",SATL,7.5,1,Sediment,"abyssal plain bottom sediment, clay with rocks, aerobic",bacteria,35.0,,,No,,,02:32 AM,no other types of environmental metadata available,,,,,,,,,No,,eukaryotes,Vexillifera sp. DIVA3 564/2,2009-07-24 02:32:00.0,2009-07-24 02:32:00.0,Atlantic_Ocean,Expedition DIVA3,CAM_LIB_001216,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0173"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0173</a>",,Eukaryota,,Vexillifera n. sp. 564/2,marine habitat,Jan Pawlowski,,,,,,,,,,,,,,,,,,MMETSP0173|Vexillifera-sp-DIVA3564-2,,,290.0,@MMETSP0173_Vexillifera-sp-DIVA3564-2,204.0,0.995628,1543.0
MMETSP0174,2740270,SRS619042,104,CAM_SMPL_002451,-64.0038,-0.0025,marine habitat,216777,PI-D3,Proboscia,alata,Rhizosoleniaceae,,Southern_Ocean,Coscinodiscophyceae,Bacillariophyta,CAM_ASM_000269,20-JAN-08,26-MAY-11,16.0,Acquatic: marine,modified f/2 amended seawater,EU,35.0,expedition ANT-XXIV / 2,seawater,33.6,3.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP017/MMETSP0174.fastq.tar,8.0,"(Brightwell) Sundström 1986: 99, figs 258-266",ANTA,8.15,1,,,,,,,No,Using trace metal solution after Morel et al. 1979. medium set up using trace metal clean conditions and procedures.,,,further metadata available at http://www.pangaea.de,,28.45,28.0,11000.0,7.3,,,0.09,No,60.0,eukaryotes,Proboscia alata PI-D3,2008-01-20 00:00:00.0,2008-01-20 00:00:00.0,Southern_Ocean,expedition ANT-XXIV / 2,CAM_LIB_001217,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0174"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0174</a>",,Eukaryota,Proboscia-alata-PI_D3,P. alata CTR 1,marine habitat,Bank Beszteri,,,,,,,,,,,,,,,,,,MMETSP0174|Proboscia-alata-PI-D3,,,575.0,@MMETSP0174_Proboscia-alata-PI-D3,243.0,1e-06,1989.0
MMETSP0186,2740352,SRS621308,104,CAM_SMPL_002453,50.45876,-3.54072,marine habitat,262233,Minchinia chitonis,Minchinia,chitonis,Haplosporidiidae,,English Channel,Haplosporea,Cercozoa,CAM_ASM_000271,20-OCT-10,16-DEC-10,,,,EU,,"Torre Abbey Beach, Torquay, Devon",host chiton in seawater,,4.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP018/MMETSP0186.fastq.tar,,"Labbé, A. 1896. Recherches zoologiques, cytologiques, et biologiques sur les coccidies. Arch Zool Exp Gen 4:517-654.",,7.0,Unknown,,intertidal,Lepidochitona cinerea,,,UNITED KINGDOM,Unknown,,,,,,,,,,,,,1,,eukaryotes,Minchinia chitonis,2010-10-20 00:00:00.0,2010-10-20 00:00:00.0,English Channel,"Torre Abbey Beach, Torquay, Devon",CAM_LIB_001219,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0186"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0186</a>",,Eukaryota,,Mc,marine habitat,Claudio Slamovits,,,,,,,,,,,,,,,,,,MMETSP0186|Minchinia-chitonis,,,422.0,@MMETSP0186_Minchinia-chitonis,8.0,0.9957,41.0
MMETSP0164,2739967,SRS618999,104,CAM_SMPL_002455,50.033,4.3660000000000005,marine habitat,221442,PLY182g,Coccolithus,pelagicus ssp braarudi,Coccolithaceae,10.0,English Channel,Prymnesiophyceae,Haptophyta,CAM_ASM_000273,17-SEP-57,21-JUL-11,14.0,Acquatic: marine,f/2 enrich filtered seawater,EU,110.0,E1,,35.0,15.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP016/MMETSP0164.fastq.tar,10.0,The motile (Crystallolithus hyalinus Gaarder and Markali) and non-motile phases in the life history of Coccolithus pelagicus (Wallich) Schiller (1960) J Mar Bio Ass UK (39) 263-274,,8.3,1,,,,,,,No,,,,,,362.0,882.0,,2449.38,,,,No,2.0,eukaryotes,Coccolithus pelagicus ssp braarudi PLY182g,1957-09-17 00:00:00.0,1957-09-17 00:00:00.0,English Channel,E1,CAM_LIB_001221,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0164"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0164</a>",Coccolithales,Eukaryota,,PLY182g,marine habitat,Glen Wheeler,,,,,,,,,,,,,,,,,,MMETSP0164|Coccolithus-pelagicussspbraarudi-PLY182g,,,245.0,@MMETSP0164_Coccolithus-pelagicussspbraarudi-PLY182g,242.0,0.0867122,1952.0
MMETSP0208,2740142,SRS619067,104,CAM_SMPL_002459,43.3,10.2,marine habitat,197538,S3,Strombidium,inclinatum,Strombidiidae,,Ligurian Sea,Spirotrichea,Ciliophora,CAM_ASM_000277,01-OCT-97,29-MAY-12,12.0,Acquatic: marine,"autoclaved artificial seawater (Red Sea Salt, Red Sea, http://www.redseafish.com)",EU,300.0,"Naval Academy, Leghorn (Tuscany)",Seawater and sediment,33.0,19.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP020/MMETSP0208.fastq.tar,12.0,"Modeo, L., Petroni, G., Rosati G. Montagnes, D. J. S. 2003. A multidisciplinary approach to describe protists: redescriptions of Novistrombidium testaceum Anigstein, 1914 and Strombidium inclinatum Montagnes, Taylor, and Lynn 1990 (Ciliophora, Oligotrichi",MEDI,8.2,1,Other,"50-100 cm diameter, 5-10 cm deep, pools on a rocky shore near Leghorn",Dunaliella tertiolecta,33.0,Cells treated with 0.1 mg/ml ampicillin overnigth,ITALY,No,,"Modeo, L., Petroni, G., Bonaldi, M., Rosati, G. (2001). Trichites of Strombidium (Ciliata, Oligotrichida) are extrusomes. J. Eukaryot. Microbiol., 48: 95-101.",,no other types of environmental metadata available,19.0,,,,,,,,No,,eukaryotes,Strombidium inclinatum S3,1997-10-01 00:00:00.0,1997-10-01 00:00:00.0,Ligurian Sea,"Naval Academy, Livorno (Tuscany)",CAM_LIB_001225,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0208"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0208</a>",,Eukaryota,,,marine habitat,Denis Lynn,,,,,,,,,,,,,,,,,,MMETSP0208|Strombidium-inclinatum-S3,,,177.0,@MMETSP0208_Strombidium-inclinatum-S3,106.0,0.0973441,1071.0
MMETSP0198,2740310,SRS618962,104,CAM_SMPL_002465,32.86667,117.25,organism-associated habitat,1112570,LLF1b,Thraustochytrium,sp.,Thraustochytriaceae,,Pacific_Ocean,Labyrinthulea,Labyrinthista,CAM_ASM_000283,07-APR-09,07-JUN-11,,Organism-Associated,B1 amended seawater,EU,,La Jolla Shores Beach,Ulva,33.5,25.0,/iplant/home/shared/imicrobe/projects/104/transcriptomes/MMETSP019/MMETSP0198.fastq.tar,,,,7.4,1,Not Applicable,green alga surface (littoral zone),,33.4,no other types of experimental metadata available,US,1,5 g/L glucose,,02:45 PM,no other types of environmental metadata available,15.2,400.0,7.0,,668.0,1.0,,0.28,No,8.3,eukaryotes,Thraustochytrium sp. LLF1b,2009-04-07 14:45:00.0,2009-04-07 14:45:00.0,Pacific_Ocean,La Jolla Shores Beach,CAM_LIB_001231,Illumina,cDNA,"Additional information and downloadable files of this sample are available at <a href=""http://camera.calit2.net/mmetsp/details.php?id=MMETSP0198"">http://camera.calit2.net/mmetsp/details.php?id=MMETSP0198</a>",Labyrinthulomycetes,Eukaryota,Thraustochytrium-sp-LLF1b,LLF1b,organism-associated habitat,Eric E. Allen,,,,,,,,,2.7,,,,,,,,,MMETSP0198|Thraustochytrium-sp-LLF1b,,,65.0,@MMETSP0198_Thraustochytrium-sp-LLF1b,237.0,0.544591,2751.0
